Product,Quantity,Unit
Big Choice Corn Argentina,1000.0,gm
Lama Brand Corn Grits,1000.0,gm
Corn Grits White,1000.0,gm
Corn,500.0,gm
Himali Organic White Corn Grits,1000.0,gm
Corn,2000.0,gm
Corn,1000.0,gm
Cheese Powder Pop Corn Seasoning Blast,200.0,gm
Cheese Powder Pop Corn Seasoning Blast,100.0,gm
Himalaya Great Foods Cheese Powder Pop Corn Seasoning Blast,500.0,gm
Sunbeam Pure Corn Oil,2000.0,ml
Cheese Powder Pop Corn Seasoning Blast,1000.0,gm
Corn Wb,5.0,
Corn Wb,5.0,
Corn Flour,200.0,gm
Bagrry'S Corn Flakes Original Pouch,880.0,gm
Kellogg'S Corn Flakes Oiginal,475.0,gm
Kellogg'S Corn Flakes With Real Honey,300.0,gm
Corn Flour,100.0,gm
Kellogg'S Corn Flakes With Real Strawberry Puree,300.0,gm
Kellogg'S Corn Flakes Original Family Pack,875.0,gm
