Product,Quantity,Unit
Big Choice Big Musuro Daal,1000.0,gm
Big Choice Regular Rahar Non Polish Daal,1000.0,gm
Big Choice Regular Maas Non Polish Daal,1000.0,gm
Big Choice Moong Kosta Daal,1000.0,gm
Big Choice Rahar Non Polish Premium Daal,1000.0,gm
Big Choice Maas Non Polish Premium Daal -,1000.0,gm
Big Choice Mixed Daal,1000.0,gm
Big Choice Small Musuro Daal,1000.0,gm
Big Choice Chana Daal -,1000.0,gm
Big Choice Moong Dal -,1000.0,gm
Big Choice Local Maas Daal,1000.0,gm
Life Mustang Daal,1000.0,gm
Rahar Daal (Pegeon Pea Split),1000.0,gm
Big Choice Premium Rahar Non Polish Daal,5000.0,gm
Khoste Moongko Dal,1000.0,gm
Shrimann Musuro Dal -,1000.0,gm
Upakar Gahat Dal,1000.0,gm
Himali Organic Gahat Daal,1000.0,gm
Red Small Lentils(Musuro Daal)-,1000.0,gm
Thulo Musuriko Dal,1000.0,gm
Rahar Non-Polished Daal,1000.0,gm
Shrimann Rajma Dal,1000.0,gm
Himali Organic Musuro Daal,1000.0,gm
Maas Daal Local  (Black Gram) -,1000.0,gm
Upakar Rahar Dal,1000.0,gm
Local Kalo Dal,1000.0,gm
Moong Daal Geda,1000.0,gm
Local Musuriko Dal,1000.0,gm
Musuro Daal,1000.0,gm
Himali Organic Simi Daal,1000.0,gm
Mixed Dal,1000.0,gm
Upakar Masoor Dal,1000.0,gm
Moong Chata Daal,1000.0,gm
Rahar Non-Polished Daal,500.0,gm
Himali Organic Mung Daal,1000.0,gm
Rahar Daal (Pegeon Pea Split),1000.0,gm
Himali Organic Mas Daal,1000.0,gm
Dhiki Jato  Kerau Daal,1000.0,gm
Dhiki Jato Jumla Mix Simi Daal,1000.0,gm
