Product,Quantity,Unit
Sara Foods Sama Rice,500.0,gm
Sara Foods Sugar Free Brown Rice,1000.0,gm
Bhansaghar Premium Long Grain Rice,20000.0,gm
Big Choice Regular Jeera Masino Rice,25000.0,gm
Gyan Bhuja,400.0,gm
Big Choice Premium Jeera Masino Rice,25000.0,gm
Mithas Premium Reserve Rice,20000.0,gm
Kook Boiled Rice,5000.0,gm
Bhansaghar Gold Steam Jeera Masino Rice,25000.0,gm
Harpal Galaxy Indian Rice,20000.0,gm
Hulas Jeera Masino,25000.0,gm
Dhiki Jato Brown Rice,5000.0,gm
Harpal Boiled Rice,20000.0,gm
Aarati Premium Rice,20000.0,gm
Bhansaghar Premium Long Grain Rice,1000.0,gm
Mithas Premium Reserve Rice,1000.0,gm
Ashirbad Steam Jeera Masino,25000.0,gm
Bhansaghar Premium Long Grain Rice,5000.0,gm
Nepal Gold Premium Katarani Rice,25000.0,gm
Hulash Basmati Premium Rice,20000.0,gm
Shrimann Taichin Chamal,1000.0,gm
Harpal Galaxy Indian Rice,5000.0,gm
Gyan Basmati Rice Premium,5000.0,gm
Harpal Boiled Rice,5000.0,gm
Dhikijato Local Anadi Chamal,1000.0,gm
Dhiki Jato Jetho Budo Chamal,1000.0,gm
Rassi Nepali Taichin Rice,1000.0,gm
Gyan Basmati Rice Premium,20000.0,gm
Hulas Idly Basmati Rice,5000.0,gm
Hulas Premium Basmati,1000.0,gm
Jumla Marsi Rice,1000.0,gm
Jumla Marsi Rice,5000.0,gm
Himali Organic Jumla Marsi Rice,1000.0,gm
Hulas Bhuja,400.0,gm
Hulas Idly Mansuli Rice,5000.0,gm
Brown Rice Pokhreli,1000.0,gm
Hulas Lalka Basmati Rice,5000.0,gm
Arati Boiled Rice,5000.0,gm
Arati Classic Rice,5000.0,gm
